date,currency_code,Country,local_price,dollar_ex,dollar_price,Year,Code,gdp_growth,GDP_Per_Capita,GDP,country_code,region,sub_region,GDP_log10
6/1/2005,UAH,Ukraine,7.25,5,1.45,2005,UKR,7.593469649,3229.652917,1.50209E+11,804,Europe,Eastern Europe,11.17669612
7/1/2009,CAD,Canada,3.89,1,3.89,2009,CAN,3.146881365,48466.85091,1.66432E+12,124,Americas,Northern America,
6/1/2005,UYU,Uruguay,44,24,1.83,2005,URY,6.541510848,10038.89509,33447078687,858,Americas,Latin America and the Caribbean,
1/1/2006,ARS,Argentina,4.75,3,1.58,2006,ARG,4.057233103,10201.47594,4.08877E+11,32,Americas,Latin America and the Caribbean,
1/1/2006,AUD,Australia,3.25,1,3.25,2006,AUS,3.657943717,51841.25372,1.10159E+12,36,Oceania,Australia and New Zealand,
1/1/2006,BRL,Brazil,6.2,2,3.1,2006,BRA,5.094195447,10710.87222,2.05681E+12,76,Americas,Latin America and the Caribbean,
1/1/2010,CAD,Canada,4.12,1,4.12,2010,CAN,1.762278246,48788.33303,1.69365E+12,124,Americas,Northern America,
1/1/2006,CLP,Chile,1560,522,2.99,2006,CHL,3.529530553,12553.79484,2.09752E+11,152,Americas,Latin America and the Caribbean,
1/1/2006,CNY,China,10.5,8,1.31,2006,CHN,9.654289373,3796.633363,5.02923E+12,156,Asia,Eastern Asia,
1/1/2006,CZK,Czech Republic,62,23,2.7,2006,CZE,2.682282724,20520.77996,2.131E+11,203,Europe,Eastern Europe,11.32858376
1/1/2006,DKK,Denmark,27.75,6,4.62,2006,DNK,-0.512016736,60504.77698,3.3239E+11,208,Europe,Northern Europe,11.52164836
1/1/2006,HUF,Hungary,560,206,2.72,2006,HUN,0.851321308,13873.32466,1.39263E+11,348,Europe,Eastern Europe,11.14383587
1/1/2006,IDR,Indonesia,14600,9460,1.54,2006,IDN,6.0137036,2885.309275,6.79403E+11,360,Asia,South-eastern Asia,
1/1/2006,JPY,Japan,250,114,2.19,2006,JPN,-1.0935406,45165.78792,5.78407E+12,392,Asia,Eastern Asia,
1/1/2006,MYR,Malaysia,5.5,3,1.83,2006,MYS,4.831769887,8850.009221,2.41039E+11,458,Asia,South-eastern Asia,
1/1/2006,MXN,Mexico,28,10,2.8,2006,MEX,1.143584587,9587.636339,1.06246E+12,484,Americas,Latin America and the Caribbean,
1/1/2006,NZD,New Zealand,4.45,1,4.45,2006,NZL,-1.008893927,33961.9017,1.44671E+11,554,Oceania,Australia and New Zealand,
1/1/2006,PEN,Peru,9.5,3,3.17,2006,PER,9.126568301,4716.197262,1.34706E+11,604,Americas,Latin America and the Caribbean,
1/1/2006,PHP,Philippines,82,52,1.58,2006,PHL,4.152756843,2016.814655,1.83332E+11,608,Asia,South-eastern Asia,
1/1/2006,PLN,Poland,6.5,3,2.17,2006,POL,4.249685342,11801.60844,4.49945E+11,616,Europe,Eastern Europe,11.6531597
1/1/2006,SGD,Singapore,3.6,1,3.6,2006,SGP,1.868212395,43216.24919,2.09141E+11,702,Asia,South-eastern Asia,
1/1/2006,ZAR,South Africa,13.95,6,2.32,2006,ZAF,3.191046741,7432.094467,3.69966E+11,710,Africa,Sub-Saharan Africa,
1/1/2006,SEK,Sweden,33,7,4.71,2006,SWE,-0.557058102,52773.29292,4.86551E+11,752,Europe,Northern Europe,11.68712802
1/1/2006,CHF,Switzerland,6.3,1,6.3,2006,CHE,2.154701861,75793.63304,5.79645E+11,756,Europe,Western Europe,11.76316215
1/1/2006,THB,Thailand,60,39,1.54,2006,THA,1.725667908,4801.876759,3.19474E+11,764,Asia,South-eastern Asia,
1/1/2006,TRY,Turkey,4.1,1,4.1,2006,TUR,0.845251454,10602.85658,7.46638E+11,792,Asia,Western Asia,
7/1/2010,CAD,Canada,4.17,1,4.17,2010,CAN,1.762278246,48788.33303,1.69365E+12,124,Americas,Northern America,
5/1/2006,ARS,Argentina,7,3,2.33,2006,ARG,4.057233103,10201.47594,4.08877E+11,32,Americas,Latin America and the Caribbean,
5/1/2006,AUD,Australia,3.25,1,3.25,2006,AUS,3.657943717,51841.25372,1.10159E+12,36,Oceania,Australia and New Zealand,
5/1/2006,BRL,Brazil,6.4,2,3.2,2006,BRA,5.094195447,10710.87222,2.05681E+12,76,Americas,Latin America and the Caribbean,
7/1/2011,CAD,Canada,4.73,1,4.73,2011,CAN,2.33017477,49400.4583,1.73311E+12,124,Americas,Northern America,
5/1/2006,CLP,Chile,1560,529,2.95,2006,CHL,3.529530553,12553.79484,2.09752E+11,152,Americas,Latin America and the Caribbean,
5/1/2006,CNY,China,10.5,8,1.31,2006,CHN,9.654289373,3796.633363,5.02923E+12,156,Asia,Eastern Asia,
5/1/2006,COP,Colombia,6500,2503,2.6,2006,COL,3.257048465,6121.74515,2.70918E+11,170,Americas,Latin America and the Caribbean,
5/1/2006,CRC,Costa Rica,1130,509,2.22,2006,CRI,4.649598233,8034.330388,35858220813,188,Americas,Latin America and the Caribbean,
5/1/2006,CZK,Czech Republic,59.05,22,2.68,2006,CZE,2.682282724,20520.77996,2.131E+11,203,Europe,Eastern Europe,11.32858376
5/1/2006,DKK,Denmark,27.75,5,5.55,2006,DNK,-0.512016736,60504.77698,3.3239E+11,208,Europe,Northern Europe,11.52164836
5/1/2006,HUF,Hungary,560,206,2.72,2006,HUN,0.851321308,13873.32466,1.39263E+11,348,Europe,Eastern Europe,11.14383587
5/1/2006,IDR,Indonesia,14600,9325,1.57,2006,IDN,6.0137036,2885.309275,6.79403E+11,360,Asia,South-eastern Asia,
5/1/2006,JPY,Japan,250,112,2.23,2006,JPN,-1.0935406,45165.78792,5.78407E+12,392,Asia,Eastern Asia,
5/1/2006,MYR,Malaysia,5.5,3,1.83,2006,MYS,4.831769887,8850.009221,2.41039E+11,458,Asia,South-eastern Asia,
